store_id,menu_name,price,menu_category,created_at,updated_at
56,호가든,5000,-,-,-
56,맥주(카스/하이트),4000,-,-,-
56,소주,4000,-,-,-
56,콜라/사이다,1500,-,-,-
57,닭곰탕,6000,한식,-,-
57,닭계장,6000,한식,-,-
57,닭칼국수,6000,한식,-,-
57,닭불고기(2인이상),7000,한식,-,-
57,돼지불고기(2인이상),7000,한식,-,-
57,오징어불고기(2인이상),7000,한식,-,-
57,능이오리닭백숙,55000,한식,-,-
58,와퍼(세트),7700,양식,-,-
58,와퍼(단품),5600,양식,-,-
58,와퍼주니어(세트),6000,양식,-,-
58,와퍼주니어(단품),4000,양식,-,-
58,콰트로치즈와퍼(세트),8500,양식,-,-
58,콰트로치즈와퍼(단품),6500,양식,-,-
58,통새우와퍼(세트),8500,양식,-,-
58,통새우와퍼(단품),6500,양식,-,-
58,불고기버거(세트),5100,양식,-,-
58,불고기버거(단품),3000,양식,-,-
58,치킨프라이,2000,양식,-,-
58,프랜치프라이 L,2100,양식,-,-
58,치즈프라이,2500,양식,-,-
58,콜라/스프라이트/환타,1900,-,-,-
58,컵아이스크림,600,-,-,-
58,선데(초코/바닐라/딸기),1500,-,-,-
59,빅불(세트),6800,양식,-,-
59,빅불(단품),5000,양식,-,-
59,핫크리스피버거(세트),6300,양식,-,-
59,핫크리스피버거(단품),4500,양식,-,-
59,불고기버거(세트),5400,양식,-,-
59,불고기버거(단품),3400,양식,-,-
59,새우버거(세트),5400,양식,-,-
59,새우버거(단품),3400,양식,-,-
59,콜라 L,1900,-,-,-
59,양념감자(어니언/치즈/칠리),2000,양식,-,-
59,치즈스틱,2000,양식,-,-
59,오징어링,2000,양식,-,-
59,포테이토,1500,-,-,-
60,콤비네이션 L,15000,양식,-,-
60,콤비네이션 M,13000,양식,-,-
60,고구마무스 L,15000,양식,-,-
60,고구마무스 M,13000,양식,-,-
60,소불고기 L,15000,양식,-,-
60,소불고기 M,13000,양식,-,-
60,포테이토 L,15000,양식,-,-
60,포테이토 M,13000,양식,-,-
60,치즈 L,15000,양식,-,-
60,치즈 M,13000,양식,-,-
60,쉬림프 골드 L,23000,양식,-,-
60,쉬림프 골드 M,21000,양식,-,-
60,옛날갈비 골드 L,23000,양식,-,-
60,옛날갈비 골드 M,21000,양식,-,-
61,MT떡볶이(카레맛or매운맛),5500,분식,-,-
61,MT떡볶이 추가1인분,2500,분식,-,-
61,MT스페셜(2-3인분),10000,분식,-,-
61,김치볶음밥(1인분),2000,분식,-,-
61,음료수(사이다/콜라),1000,-,-,-
61,라면 사리,1500,-,-,-
61,쫄면 사리,1500,-,-,-
61,당면 사리,1500,-,-,-
61,우동 사리,1500,-,-,-
61,순대 사리,1500,-,-,-
62,고기류,-,-,-,-
62,버섯삼겹살,8000,한식,-,-
62,진갈비살,16000,한식,-,-
62,차돌박이,11000,한식,-,-
62,냉면,5000,한식,-,-
62,식사류,-,-,-,-
62,순대국,5500,한식,-,-
62,삼겹김치찌개,5500,한식,-,-
62,돼지불고기,5500,한식,-,-
62,육개장,6000,한식,-,-
62,전골류,-,-,-,-
62,불낙전골 大,24000,한식,-,-
62,불낙전골 小,19000,한식,-,-
62,부대찌개 大,20000,한식,-,-
62,부대찌개 小,15000,한식,-,-
63,삼겹살 무한리필,10000,한식,-,-
63,삼겹살+목살+막창 무한리필,12000,한식,-,-
63,삼겹살+목살+우삼겹 무한리필,12000,한식,-,-
63,공기밥,1000,-,-,-
63,육회,5000,-,-,-
63,냉면,5000,-,-,-
64,무한리필 1인(2시간),9900,한식,-,-
64,냉면,4000,한식,-,-
64,된장찌개,2000,한식,-,-
64,공기밥,1000,한식,-,-
64,쭈꾸미(1접시),4900,한식,-,-
65,짜장면,4000,중식,-,-
65,해물우동,6000,중식,-,-
65,홍합해물짬뽕,6000,중식,-,-
65,매운짬뽕,8000,중식,-,-
65,짜장밥,6000,중식,-,-
65,짬뽕밥,7000,중식,-,-
65,미니탕수육,7000,중식,-,-
65,찹쌀탕수육 小,12000,중식,-,-
65,찹쌀탕수육 中,17000,중식,-,-
65,찹쌀탕수육 大,23000,중식,-,-
65,깐풍기,20000,중식,-,-
65,세트메뉴,-,-,-,-
65,탕수육+짜장2,17000,중식,-,-
65,탕수육+짜장1+짬뽕1,19000,중식,-,-
65,탕수육+짬뽕2,21000,중식,-,-
65,음료,-,-,-,-
65,음료수,1500,-,-,-
65,소주,4000,-,-,-
66,순두부,6000,한식,-,-
66,된장찌개,6000,한식,-,-
66,김치찌개,7000,한식,-,-
66,조기매운탕,7000,한식,-,-
66,닭도리탕,7000,한식,-,-
66,부대찌개,7000,한식,-,-
66,불백,7000,한식,-,-
66,게장백반,7000,한식,-,-
66,생선구이,7000,한식,-,-
66,장어구이,8000,한식,-,-
66,소불낙,7000,한식,-,-
66,동태찌개,7000,한식,-,-
66,고등어조림,7000,한식,-,-
66,낙지볶음,8000,한식,-,-
67,소고기기쌀국수,3900,양식,-,-
67,사이공볶음밥,3900,양식,-,-
67,닭고기쌀국수,3900,양식,-,-
67,얼큰쌀국수,4500,양식,-,-
67,새우볼,3900,양식,-,-
67,사이공볶음면,3900,양식,-,-
67,사이공딤섬,3900,양식,-,-
67,사이공치킨봉,3900,양식,-,-
67,콜라/사이다,1000,-,-,-
68,춘천닭갈비 1인(250g),8500,한식,-,-
68,매운닭갈비 1인(250g),8500,한식,-,-
68,막국수,4000,한식,-,-
68,계란찜,1000,한식,-,-
68,사리류,-,-,-,-
68,"모듬(떡,고구마,쫄면)",4000,한식,-,-
68,치즈,3000,-,-,-
68,볶음밥,2000,-,-,-
68,주류,-,-,-,-
68,소주,4000,-,-,-
68,맥주,4000,-,-,-
68,막걸리,3000,-,-,-
68,매화수,4000,-,-,-
69,오리지널 족발 小,26000,한식,-,-
69,오리지널 족발 中,29000,한식,-,-
69,오리지널 족발 大,33000,한식,-,-
69,직화 불족발 中,29000,한식,-,-
69,직화 불족발 大,33000,한식,-,-
69,반반 족발(오리지널+불족발),34000,한식,-,-
69,보쌈 小,26000,한식,-,-
69,보쌈 中,29000,한식,-,-
69,보쌈 大,33000,한식,-,-
69,세트 족발보쌈 中,39000,한식,-,-
69,세트 족발보쌈 大,45000,한식,-,-
69,냉채족발 中,29000,한식,-,-
69,냉채족발 大,33000,한식,-,-
69,미니불족발,18000,한식,-,-
69,해물부추전,10000,한식,-,-
69,해물김치전,10000,한식,-,-
69,"쟁반막국수,쟁반쫄면 小",6000,한식,-,-
69,"쟁반막국수,쟁반쫄면 大",10000,한식,-,-
69,야시장 쌀국수,8000,한식,-,-
69,소주,4000,-,-,-
69,막걸리,3000,-,-,-
69,맥주,4000,-,-,-
69,"콜라,사이다",2000,-,-,-
70,족발 小(1~2인),28000,한식,-,-
70,족발 中(2~3인),31000,한식,-,-
70,족발 大,35000,한식,-,-
70,보쌈 小(1~2인),28000,한식,-,-
70,보쌈 中(2~3인),31000,한식,-,-
70,보쌈 大(3~4인),35000,한식,-,-
70,냉채족발,35000,한식,-,-
70,반반족발(족발+불족),36000,한식,-,-
70,주먹밥,3000,한식,-,-
70,직화불족발 中(2~3인),30000,한식,-,-
70,직화불족발 大(3~4인),34000,한식,-,-
70,가족의 족발보쌈(3~4인),47000,한식,-,-
70,큰쟁반국수 中,8000,한식,-,-
70,큰쟁반국수 大,12000,한식,-,-
70,얼큰술국,8000,한식,-,-
70,소주,4000,-,-,-
70,막걸리,3000,-,-,-
70,맥주,4000,-,-,-
70,음료수,1000,-,-,-
71,이탈리안 치즈 피자,6000,양식,-,-
71,페파로니 피자,6900,양식,-,-
71,포테이토 피자,8900,양식,-,-
71,고구마 피자,8900,양식,-,-
71,불고기 피자,9900,양식,-,-
71,스테이크 불갈비 피자,11900,양식,-,-
71,골드 이탈리안 치즈 피자,10900,양식,-,-
71,골드 포테이토 피자,13900,양식,-,-
71,골드 고구마 피자,13900,양식,-,-
71,골드 불고기 피자,14900,양식,-,-
71,골드 하와이안 쉬림프 피자,17900,양식,-,-
71,이탈리안 치즈 바이트 피자,10900,양식,-,-
71,치킨 텐더 바이트 피자,15900,양식,-,-
71,스테이크 불갈비 바이트 피자,16900,양식,-,-
71,몬스터 이탈리안 피자,10900,양식,-,-
71,몬스터 고구마 피자,12900,양식,-,-
71,리얼 시카고 오리지널 피자,15900,양식,-,-
71,BBQ 리얼 시카고,18900,양식,-,-
71,고르곤졸라피자,10900,양식,-,-
71,크림쉬림프피자,12900,양식,-,-
71,반달피자,12900,양식,-,-
71,고구마무스 추가,1000,-,-,-
71,토핑치즈 추가,2000,-,-,-
72,돈까스,-,-,-,-
72,등심까스,7000,일식,-,-
72,안심까스,7500,일식,-,-
72,생선까스,7500,일식,-,-
72,치킨까스,7500,일식,-,-
72,밥/덮밥,-,-,-,-
72,돈까스비빔밥,7000,일식,-,-
72,회덮밥+소우동,7000,일식,-,-
72,알밥+소우동,7000,일식,-,-
72,가츠동,7500,일식,-,-
72,얼큰김치가츠동,8000,일식,-,-
72,일본카레,-,-,-,-
72,돈까스 카레,7500,일식,-,-
72,치킨까스 카레,7500,일식,-,-
72,고로케 카레,7500,일식,-,-
72,면,-,-,-,-
72,냉모밀,6500,일식,-,-
72,비빔모밀,6500,일식,-,-
72,돈까스비빔모밀,8500,일식,-,-
72,우동,5000,일식,-,-
72,얼큰김치우동,5500,일식,-,-
72,일본카레우동,7000,일식,-,-
72,세트메뉴,-,-,-,-
72,1.돈까스모밀세트(등심까스+소모밀),9000,일식,-,-
72,2.돈까스우동세트(등심까스+소우동),8500,일식,-,-
72,3.냉모밀돈까스세트(냉모밀+안심까스1/2),8000,일식,-,-
72,4.냉모밀새우까스세트(냉모밀+새우까스2ea),9000,일식,-,-
72,주류음료,-,-,-,-
72,소주,3000,-,-,-
72,맥주,4000,-,-,-
72,콜라 1.25L,2000,-,-,-
73,소금구이 (1인분),14000,한식,-,-
73,소주,4000,-,-,-
73,맥주,4000,-,-,-
73,클라우드,5000,-,-,-
73,청하,4000,-,-,-
73,순하리,4000,-,-,-
73,매화수,4000,-,-,-
73,음료수,1000,-,-,-
74,황태칼국수,6000,한식,-,-
74,등심돈까스,6000,한식,-,-
74,왕돈까스,7000,한식,-,-
74,치즈돈까스,7000,한식,-,-
75,참치 무한리필,-,-,-,-
75,참다랑어스페셜(1인),75000,일식,-,-
75,참치스페셜(1인),50000,일식,-,-
75,참치회특(1인),35000,일식,-,-
75,참치회(1인),28000,일식,-,-
75,특초밥(10pcs),20000,일식,-,-
75,쥰마이다이긴조,75000,-,-,-
